word
"""blood monkey"""
abundant
activism
alive
alive
amazon
amazon
amazon
amazon
amazon
amazon
anaconda
ancient
animals
animals
animals
beautiful
beautiful
beautiful
beautiful
beef
beef
beef
big leaf
biodiverse
biodiverse
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
biodiversity
bountiful
brazil
brazil
canopies
canopies of large trees
canopy
canopy
canopy
canopy
canopy of trees
carbon
carbon
carbon sink
carbon sink
carbon sink
carbon sinks
cattle ranches
cattle ranching
chocolate
climate
climate
climate change
climate change
climate change
co2 emissions
coffee
complex
connected
consequences
conservation
conservation
conservation
conservation
conservation
conservation
conservation
conservation
conservation
costa rica
cows
critical
culture
dangerous
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation
deforestation- losing them
demand
dense
dense vegetation
diminishing
diverse
diverse
diverse
diverse
diverse wildlife
diversity
diversity
diversity
diversity
diversity
durian
dying
ecology
ecology
elephant
endangered
endangered
endangered
energy
equator
essential
evergreen
everywhere around us
exotic
exploitation
exploitation
exploited
forest cover loss
fruit
global
global warming
global warming
global warming
global warming
green
green
green
green
green
green
green
greenhouse gases
habitat
high biodiversity
hiking three miles up a mountain in the middle of the costa rican jungle
home
huge
huge leaves
humid
humid
importance
important
incentives
indigenous
indigenous
indigenous people
indonesia
itcz
its all around us
jaguar
jungle
jungle
layered
life
life
life
life
logging
lush
magical
mango
microorganisms
misrepresented
misunderstood
mystical
mystifying
natives
nature
necessary resources
need to be protected
orangatans
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil
palm oil and beef
paradise
parrots
piranhaconda
plants
pop culture influence
priceless
primal
protection
python
rainforest alliance certification
rainforest alliance certification
resources
rich
rich in species
richness
sloth
source of life
species
stereotypes
stereotypes
supply
tall trees
tall trees
this class
threatened
threatened
timber
toucan
trees
trees
trees
trees
tropes
tucan
tucan
uncivilized
untouched
vast
vegetation
vital
vulnerable
warm weather
wet
wet and rainy
wild
wet
