Assignment ,Requirements,Due,Points
In-Class Activities,20 x 20 pts each,,400
Movie Reviews,Reviews + data sheets,,100
Analytic Essay,Deforestation Analysis (1000 wds) + graphs,,150
Reflective Essay,Essay (500-700 wds) + Palm Oil Survey,,150
Final Project,Campaign Items + Description,,200
