"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",2001,114393.78862800675156029,100890267.686562915858168
"IDN",2002,271745.45197759720767282,246853744.322151175050570
"IDN",2003,248435.59290556838540698,197441075.335244065914976
"IDN",2004,479153.27683458020319817,475763218.2268462089374764
"IDN",2005,478405.81261249832607318,479576597.713641338591759
"IDN",2006,468382.03588950655370289,417020856.867494738139502
"IDN",2007,525993.17966990967430589,465800405.208715647777240
"IDN",2008,469406.65018337989893694,413381345.483853250414369
"IDN",2009,683828.28656169234275440,613260673.488076059947696
"IDN",2010,540976.03016930551103171,546473311.686519211728004
"IDN",2011,613905.68191543945939736,622328548.920930335825303
"IDN",2012,855533.53376395780516409,813597033.895958497180080
"IDN",2013,472991.32837201837617748,444328039.010572484610923
"IDN",2014,736797.88243810530926339,648220974.514671178838874
"IDN",2015,666641.54898344621474198,535909656.704204241079687
"IDN",2016,928660.29191709838159924,661808136.160794001455121
"IDN",2017,373255.32456034045968362,291055988.993191449232266
"IDN",2018,339888.19811064342131122,264599517.537135562160616
"IDN",2019,323646.29789480894485603,252066544.720769926834681
"IDN",2020,270056.62838248796905225,207507656.956010269806557
"IDN",2021,202905.23096419688328035,156538071.159842424687849
